Chr	GeneID	GeneName	Start	Stop	CodingLength	log2FoldChange	Foldchange	pval	padj
chr15	ENSG00000260206	CTD-2026K11.2	75928480	75931580	572	0.103	1.074	0.698385137	0.857702757
chr15	ENSG00000260170	RP11-96O20.4	45879549	45968512	1060	-1.298	0.407	7.52E-05	0.001004493
chr16	ENSG00000260136	CTD-2270L9.4	23464079	23468927	1007	0.075	1.053	0.793046495	0.907222351
chr16	ENSG00000260121	RP5-1142A6.9	88785023	88786867	1845	-0.098	0.934	0.793921765	0.907885116
chr16	ENSG00000260114	CTD-2574D22.4	29930957	29933226	2270	0.337	1.263	0.279212147	0.524930506
chr16	ENSG00000260111	RP11-529K1.4	70413360	70433405	590	-0.129	0.915	0.708103998	0.863333139
chr16	ENSG00000260108	RP11-140H17.1	69497747	69500167	2421	-0.361	0.778	0.28533179	0.531547894
chr16	ENSG00000260107	AC005606.15	2047655	2048375	504	0.238	1.179	0.355507396	0.602060342
chr15	ENSG00000260103	RP11-10O17.1	74770411	74782627	3385	0.455	1.371	0.155717336	0.370688848
chr2	ENSG00000260101	RP11-568N6.1	64749321	64751227	1907	-0.849	0.555	0.018110902	0.087500364
chr16	ENSG00000260083	MIR4519	30886543	30906541	1815	-0.01	0.993	0.967672017	0.988224289
chr2	ENSG00000260077	RP11-254F7.2	10179219	10180790	1572	-0.046	0.968	0.877678135	0.947744089
chr22	ENSG00000260065	CTA-445C9.15	26917949	26921002	3054	-1.018	0.494	0.010697448	0.059828562
chr7	ENSG00000260054	RP11-611L7.1	6694495	6696063	1569	0.559	1.473	0.014373709	0.074477374
chr15	ENSG00000260037	CTD-2524L6.3	72110737	72115725	896	-0.216	0.861	0.468384239	0.698652552
chr20	ENSG00000260032	LINC00657	34633544	34638882	5339	-0.231	0.852	0.316601926	0.563711218
chr17	ENSG00000260027	HOXB7	46684594	46710934	1520	-0.336	0.792	0.442849609	0.679169441
chr16	ENSG00000260017	RP11-1035H13.2	18814405	18823503	361	0.273	1.208	0.373953325	0.618196564
chr15	ENSG00000260007	RP11-315D16.2	68486139	68522056	718	0.008	1.006	0.976303905	0.991625825
chr17	ENSG00000260005	AC027601.1	79202507	79207783	4506	0.352	1.276	0.232934795	0.474789037
chr6	ENSG00000260000	RP3-467N11.1	101329347	101330863	1517	-0.493	0.711	0.168542326	0.389620139
chr16	ENSG00000259992	RP11-77K12.8	75575297	75642343	798	-0.041	0.972	0.888653656	0.952726527
chr3	ENSG00000259976	RP11-553L6.5	114033348	114035026	1679	-1.332	0.397	7.60E-05	0.001014855
chr16	ENSG00000259972	AC009120.6	74339100	74369244	1357	0.099	1.071	0.641677159	0.823348164
chr3	ENSG00000259970	AC099668.5	49721913	49722416	423	0.264	1.201	0.453385703	0.687315464
chr4	ENSG00000259959	RP11-121C2.2	47842139	47846356	4218	0.306	1.237	0.3694796	0.614104107
chr16	ENSG00000259952	AC009133.15	29817817	29819053	547	0.376	1.297	0.049646325	0.176913583
chr15	ENSG00000259948	RP11-326A19.5	89744322	89744999	678	-0.278	0.824	0.276991304	0.522530479
chr16	ENSG00000259945	CTD-2012K14.3	67576026	67576866	336	-0.353	0.783	0.249117372	0.492346603
chr1	ENSG00000259943	RP1-39G22.7	40722099	40723639	1541	-0.403	0.756	0.185423552	0.412786506
chr16	ENSG00000259939	RP11-77H9.5	8947169	8948204	409	0.311	1.241	0.203053422	0.436432733
chr16	ENSG00000259933	RP11-304L19.1	2141437	2145426	683	0.003	1.002	0.99291159	0.997793319
chr15	ENSG00000259917	HNRNPLP2	34781203	34782772	1570	0.459	1.375	0.104429488	0.287073391
chr16	ENSG00000259901	RP5-991G20.4	72823142	72825522	2381	0.25	1.189	0.427556555	0.665465976
chr16	ENSG00000259900	RP11-343C2.7	69369179	69385633	747	0.006	1.004	0.983954529	0.994959248
chr8	ENSG00000259891	CTA-204B4.2	141515912	141518142	2231	0.593	1.509	0.074534948	0.230695473
chrX	ENSG00000259886	U82695.10	152689210	152691934	2725	-0.027	0.981	0.939605911	0.974827445
chr12	ENSG00000259884	RP11-1100L3.8	52452243	52453287	915	-1.85	0.277	9.10E-06	0.00014859
chr16	ENSG00000259877	RP11-46C24.7	89281638	89284061	2424	-0.096	0.936	0.760250737	0.889682183
chr1	ENSG00000259865	RP11-488L18.10	247350583	247351828	1246	-0.649	0.638	0.111151712	0.299285356
chr16	ENSG00000259856	RAB43P1	46660316	46660904	589	0.504	1.418	0.116002393	0.307380716
chr16	ENSG00000259827	RP11-343H19.2	56716382	56721719	551	-0.914	0.531	0.015821743	0.07967109
chr8	ENSG00000259820	AC083843.1	135804263	135810515	6253	0.472	1.387	0.221733903	0.460620757
chr5	ENSG00000259802	CTD-2256P15.2	10352813	10353713	901	0.015	1.011	0.959440355	0.984484668
chr15	ENSG00000259792	RP11-114H24.6	78285747	78287631	483	-0.927	0.526	0.013984076	0.073161237
chr16	ENSG00000259784	ATP6C	2563966	2577956	596	-0.09	0.94	0.619047284	0.808617594
chr15	ENSG00000259781	RP11-673C5.1	71457109	71457754	646	0.461	1.376	0.100387885	0.280027725
chr15	ENSG00000259773	RP11-507J18.2	51038906	51042026	304	-0.149	0.902	0.634497304	0.81861964
chr8	ENSG00000259758	CASC7	141530255	141539600	9346	0.298	1.23	0.2253445	0.465215198
chr15	ENSG00000259755	RP11-505E24.2	101590937	101626271	720	0.156	1.114	0.636220779	0.819918649
chr17	ENSG00000259753	ITGB3	45331263	45421658	2785	-0.084	0.944	0.775889787	0.897937056
chr15	ENSG00000259736	RP11-387D10.2	91163239	91260372	957	0.063	1.044	0.851191744	0.936332969
chr20	ENSG00000259716	RP5-977B1.11	35177530	35232932	714	-0.448	0.733	0.238445734	0.481213776
chr15	ENSG00000259709	CTD-2184D3.7	52416758	52432443	1538	-0.239	0.848	0.448998171	0.683781047
chr15	ENSG00000259706	HSP90B2P	99797837	99800220	2384	-0.223	0.857	0.451723377	0.686204576
chr15	ENSG00000259678	RP11-707P17.1	51706294	51791030	560	-0.392	0.762	0.259588193	0.502967443
chr15	ENSG00000259673	IQCH-AS1	67695957	67814182	6732	0.122	1.089	0.631452875	0.816572039
chr5	ENSG00000259663	CTD-2314G24.2	50668570	50679166	7152	-1.559	0.339	0.063267523	0.207493488
chr15	ENSG00000259661	AC068831.15	91463448	91464416	795	0.286	1.219	0.255322779	0.498509761
chr15	ENSG00000259642	C15orf37	80215113	80217194	2082	0.205	1.153	0.460402633	0.692705345
chr15	ENSG00000259627	RP11-244F12.2	63362224	63364110	691	-0.704	0.614	0.019876277	0.093542762
chr17	ENSG00000259623	RP11-156E6.1	40004770	40007699	2930	-0.243	0.845	0.359777933	0.605757493
chr15	ENSG00000259618	RP11-562A8.5	50786215	50789277	297	-0.088	0.941	0.78179658	0.900313512
chr8	ENSG00000259607	CTD-2647L4.5	28924796	28925971	585	-0.22	0.859	0.462687775	0.694642737
chr19	ENSG00000259605	AC074212.5	46268043	46273064	2600	0.116	1.083	0.557082517	0.766345183
chr15	ENSG00000259595	RP11-516C1.1	44694883	44719342	625	-0.374	0.772	0.108902982	0.294954455
chr15	ENSG00000259583	RP11-66B24.4	101433945	101459488	5911	-1.354	0.391	0.001242141	0.011213546
chr15	ENSG00000259577	RP11-430B1.2	52472290	52498071	2096	0.468	1.383	0.124585006	0.322244598
chr15	ENSG00000259546	RP11-351M8.2	81188531	81241208	683	0.245	1.185	0.581542909	0.78310905
chr15	ENSG00000259544	RP11-158M2.2	86269346	86270458	569	-0.158	0.896	0.647353981	0.82739169
chr15	ENSG00000259536	RP11-111A22.1	40780240	40850183	2286	-0.329	0.796	0.205795577	0.440008795
chr14	ENSG00000259529	RP11-468E2.4	24620427	24636611	4798	0.164	1.121	0.388599586	0.631246275
chr14	ENSG00000259522	RP11-468E2.2	24649601	24659622	4351	0.404	1.323	0.026021324	0.113524649
chr14	ENSG00000259515	RP11-365N19.2	103399911	103403514	828	0.266	1.203	0.296728989	0.543218149
chr15	ENSG00000259498	RP11-244F12.3	63338233	63341586	3354	0.055	1.039	0.848247035	0.934822761
chr15	ENSG00000259494	MRPL46	89002707	89010650	6432	0.116	1.084	0.597987182	0.794607487
chr15	ENSG00000259488	RP11-154J22.1	48604550	48624053	1099	-0.241	0.846	0.371095221	0.615538417
chr15	ENSG00000259480	RP11-26F2.1	23128188	23145997	1283	0.343	1.269	0.262929004	0.50634621
chr15	ENSG00000259479	CTD-2008A1.2	45118569	45176892	2301	0.607	1.523	0.044775285	0.164440361
chr20	ENSG00000259456	RP5-914P20.5	49547521	49561671	927	0.131	1.095	0.699522117	0.858513092
chr2	ENSG00000259439	RP11-89K21.1	45147332	45166338	4756	0.879	1.839	0.011628912	0.064023069
chr14	ENSG00000259431	THTPA	24025216	24029480	2875	0.246	1.186	0.168378836	0.38939229
chr15	ENSG00000259426	RP11-253M7.1	69689243	69707368	2265	0.033	1.023	0.913657404	0.963584803
chr15	ENSG00000259417	RP11-2E17.1	80487826	80544555	6890	1.096	2.138	0.043507984	0.161801499
chr15	ENSG00000259409	RP11-521C20.3	40381033	40381587	461	0.455	1.371	0.101505173	0.281741763
chr15	ENSG00000259407	RP11-158M2.3	86287340	86293512	964	-0.487	0.713	0.108926987	0.294975067
chr20	ENSG00000259399	TGIF2-C20orf24	35202956	35240787	918	-0.057	0.962	0.750567132	0.884941274
chr15	ENSG00000259380	RP11-346D14.1	38431796	38519088	2982	0.877	1.836	0.000572378	0.005788772
chr15	ENSG00000259375	RP11-815J21.2	86122277	86123409	953	0.272	1.207	0.548321328	0.760104579
chr14	ENSG00000259374	RP11-736N17.4	103606012	103608296	2285	0.644	1.563	0.073739885	0.229339328
chr14	ENSG00000259371	RP11-468E2.6	24590560	24601038	828	0.31	1.24	0.107182391	0.29196451
chr15	ENSG00000259370	RP11-1069G10.1	63124323	63176233	4086	-0.601	0.659	0.078709286	0.239477428
chr1	ENSG00000259357	RP11-316M1.12	150937736	150938734	765	0.105	1.076	0.554795141	0.764484505
chr15	ENSG00000259352	RP11-109D20.2	45365690	45366246	426	0.244	1.184	0.438446295	0.67528279
chr15	ENSG00000259342	RP11-519G16.5	45722850	45734006	729	-2.213	0.216	1.13E-07	2.63E-06
chr15	ENSG00000259332	ST20-MTHFS	80137537	80216096	869	0.073	1.052	0.737678928	0.879427463
chr15	ENSG00000259330	LINC00984	40617417	40618916	594	-0.432	0.741	0.12077767	0.315570636
chr15	ENSG00000259327	CTD-2184D3.6	52408771	52414328	874	-0.72	0.607	0.019863159	0.093536173
chr15	ENSG00000259322	RP11-762H8.1	78585628	78588391	449	0.15	1.11	0.604051852	0.798630755
chr14	ENSG00000259321	RP11-468E2.5	24608654	24609653	747	0.331	1.258	0.244358255	0.487449658
chr14	ENSG00000259319	RP11-293M10.6	75890386	75894444	4059	0.575	1.49	0.131862178	0.334385385
chr15	ENSG00000259316	CTD-2116N17.1	64472547	64665980	2732	0.213	1.159	0.414435639	0.653794478
chr15	ENSG00000259314	CTD-3065B20.3	91147457	91157790	807	0.073	1.052	0.829755199	0.925058085
chr8	ENSG00000259305	ZHX1-C8ORF76	124238431	124279627	1255	-0.011	0.993	0.956353005	0.982622538
chr15	ENSG00000259298	RP11-562A8.4	50789392	50790941	667	-0.212	0.863	0.481348355	0.709230989
chr15	ENSG00000259295	CSPG4P12	85734669	85757136	11495	0.59	1.505	0.059542666	0.19949565
chr15	ENSG00000259291	RP11-617F23.1	90617747	90625439	1168	0.171	1.126	0.551339469	0.76194022
chr15	ENSG00000259288	RP11-133K1.2	40509629	40568597	3091	0.593	1.508	0.012280911	0.066674156
chr15	ENSG00000259279	CTD-2033D15.1	39885781	39886432	281	-3.159	0.112	2.83E-11	1.01E-09
chr15	ENSG00000259264	RP11-60L3.1	74495046	74513896	2290	0.383	1.304	0.330732542	0.577329959
chr15	ENSG00000259248	USP3-AS1	63836446	63893788	3581	-0.145	0.904	0.585855368	0.78615079
chr15	ENSG00000259238	RP11-361D15.2	59980716	59981617	402	0.149	1.109	0.638872184	0.821218
chr15	ENSG00000259211	RP11-64K12.8	40756392	40758925	729	0.541	1.455	0.046749512	0.169682717
chr17	ENSG00000259207	ITGB3	45331212	45421658	4913	-0.116	0.923	0.709697521	0.864203909
chr15	ENSG00000259201	RP11-56B16.5	52179757	52193320	510	-0.054	0.963	0.864592595	0.94235642
chr15	ENSG00000259185	RP11-56B16.4	52201099	52201839	510	-0.393	0.762	0.198962323	0.43144873
chr15	ENSG00000259175	RP11-379K22.2	80846950	80855285	2520	0.656	1.576	0.076102887	0.233978664
chr15	ENSG00000259172	RP11-299G20.2	101835624	101845942	2590	-1.746	0.298	2.52E-05	0.000380626
chr14	ENSG00000259171	AL163636.6	21152746	21168735	1498	-0.804	0.573	0.002833008	0.022014614
chr14	ENSG00000259169	GNRHR2P1	60865652	60866731	631	0.911	1.881	0.008064692	0.048487781
chr14	ENSG00000259164	RP11-463C8.4	77564654	77691805	603	0.527	1.441	0.096881656	0.273770183
chr11	ENSG00000259159	MFRP	119209652	119217368	3902	-3.121	0.115	4.43E-06	7.64E-05
chr14	ENSG00000259153	RP6-65G23.3	71276922	71282120	716	0.674	1.596	0.051042355	0.18003412
chr14	ENSG00000259133	RP11-1085N6.3	57115683	57197253	734	0.302	1.233	0.346974528	0.592461393
chr14	ENSG00000259132	RP11-298I3.5	23415479	23451467	835	0.221	1.165	0.319488511	0.566887307
chr14	ENSG00000259129	LINC00648	48234157	48264295	3043	0.408	1.327	0.370344347	0.61502445
chr14	ENSG00000259118	RP11-840I19.3	65548752	65560930	1377	0.105	1.075	0.709709366	0.864203909
chr14	ENSG00000259115	CTD-2540L5.5	71060031	71107921	611	0.29	1.223	0.30599174	0.552806847
chr14	ENSG00000259114	AC005484.5	74498500	74549566	1715	0.144	1.105	0.583313996	0.783909876
chr14	ENSG00000259113	RP11-406H23.2	50915525	50923460	502	0.256	1.194	0.394705844	0.637044061
chr11	ENSG00000259112	NDUFC2-KCTD14	77728017	77790911	731	0.055	1.039	0.735763826	0.878430708
chr14	ENSG00000259083	RP11-407N17.4	39644089	39645084	530	0.972	1.961	0.005738987	0.037712148
chr14	ENSG00000259081	RP11-488C13.6	77240627	77247861	954	-0.535	0.69	0.182105907	0.408382086
chr2	ENSG00000259080	RP11-158I13.2	27805913	27858041	1741	0.186	1.137	0.326859063	0.573461557
chr12	ENSG00000259075	POC1B-GALNT4	89913185	89920039	5500	-0.594	0.662	0.014192989	0.073893591
chr14	ENSG00000259071	RP11-247L20.4	50793244	50794627	446	-0.188	0.878	0.594279086	0.791961286
chr14	ENSG00000259066	RP11-371E8.4	93651318	93684932	920	0.121	1.088	0.561740363	0.769370598
chr14	ENSG00000259065	RP5-1021I20.1	74254063	74269973	688	-0.394	0.761	0.242773075	0.485978322
chr14	ENSG00000259053	RP11-33N16.3	89878656	90421003	452	0.172	1.127	0.535816366	0.751103083
chr14	ENSG00000259052	AL157871.2	100746296	100757793	206	0.498	1.412	0.058437876	0.196974337
chr14	ENSG00000259049	RP11-589M4.1	53241955	53244458	1426	0.062	1.044	0.781724845	0.900313512
chr6	ENSG00000259040	BLOC1S5-TXNDC5	7881755	8064597	3030	-0.433	0.741	0.037120607	0.14505694
chr1	ENSG00000259030	FPGT-TNNI3K	74663919	75009666	9358	-0.246	0.844	0.430535862	0.667978187
chr17	ENSG00000259024	TVP23C-CDRT4	15339338	15466875	3094	0.495	1.409	0.024242536	0.108113734
chr14	ENSG00000259018	RP11-124D2.3	23825615	23826212	285	-0.713	0.61	0.078102659	0.238173397
chr14	ENSG00000259007	RP11-463J10.3	52433721	52436518	479	-4.339	0.049	6.20E-08	1.50E-06
chr16	ENSG00000259006	RP11-566K11.4	89986235	89989070	985	-0.392	0.762	0.356519831	0.602980335
chr14	ENSG00000259001	RPPH1	20811207	20811844	638	0.898	1.864	0.110476098	0.297986647
chr14	ENSG00000258989	RP11-47I22.4	61995846	62124682	779	-0.362	0.778	0.274596841	0.520142595
chr2	ENSG00000258984	UBE2F-SCLY	238875656	239008053	3195	-0.238	0.848	0.221533717	0.460417539
chr14	ENSG00000258964	RP11-618G20.1	62200856	62242978	720	-0.181	0.882	0.408357	0.648217265
chr14	ENSG00000258959	RP11-1017G21.4	102502652	102532565	1240	0.007	1.005	0.973609619	0.990398839
chr16	ENSG00000258947	TUBB3	89987800	90005169	6138	-0.449	0.733	0.059631775	0.199757009
chr14	ENSG00000258944	RP4-647C14.3	73738890	73740789	777	-0.578	0.67	0.194138304	0.424993817
chr14	ENSG00000258941	RP11-407N17.3	39703106	39820397	5392	-0.203	0.869	0.367793323	0.612696132
chr14	ENSG00000258938	RP11-317N8.5	36288430	36295971	2867	0.646	1.564	0.030637225	0.1268642
chr17	ENSG00000258924	CTB-96E2.3	26684670	26708716	1050	0.04	1.028	0.868963455	0.94427677
chr14	ENSG00000258920	FOXN3-AS1	89883698	89886137	1077	-0.073	0.951	0.819920135	0.921310722
chr14	ENSG00000258908	RP11-203M5.8	20942948	20945248	492	0.115	1.083	0.628539069	0.815147462
chr14	ENSG00000258892	RP11-193F5.1	61346432	61449303	200	0.126	1.091	0.653737988	0.831214876
chr14	ENSG00000258891	RP5-1021I20.5	74362867	74404817	3953	0.13	1.094	0.589137981	0.788336054
chr17	ENSG00000258890	CEP95	62502706	62538579	8048	0.249	1.188	0.226630568	0.46675105
chr2	ENSG00000258881	AC007040.11	71166448	71222466	4451	0.106	1.076	0.650730784	0.829762457
chr5	ENSG00000258864	CTC-554D6.1	112162910	112203279	694	-0.336	0.792	0.118442176	0.311232894
chr16	ENSG00000258839	MC1R	89978527	89987385	5566	-0.014	0.99	0.966073615	0.98747857
chr10	ENSG00000258838	ERCC6-PGBD3	50723247	50747584	3518	0.255	1.194	0.329804231	0.576585554
chr12	ENSG00000258830	RP11-123K3.4	57643392	57690267	2107	0.131	1.095	0.49065984	0.717069568
chr14	ENSG00000258824	CTD-2555O16.2	64889653	64915275	550	0.435	1.351	0.137578208	0.343315827
chr14	ENSG00000258818	RNASE4	21152259	21168761	2104	-0.792	0.578	0.00306716	0.023452756
chr14	ENSG00000258813	RP11-109N23.4	73525139	73526123	494	1.232	2.349	6.62E-05	0.000898397
chr14	ENSG00000258800	CTD-2302E22.2	64065592	64065966	283	0.29	1.223	0.301566769	0.548835657
chr12	ENSG00000258794	RP11-313F23.5	34361350	34362610	1261	1.14	2.204	0.000534023	0.005468497
chr14	ENSG00000258790	KIAA0391	35591755	35786680	3857	-0.019	0.987	0.920708255	0.966750167
chr14	ENSG00000258777	HIF1A-AS1	62147759	62162541	652	-0.047	0.968	0.877322836	0.947744089
chr15	ENSG00000258761	RP11-24J19.1	92706028	92715666	539	0.118	1.085	0.661892862	0.836490439
chr14	ENSG00000258757	RP11-841O20.2	53107557	53108284	581	-0.535	0.69	0.077325096	0.236483617
chr14	ENSG00000258749	RP11-688G15.3	99978838	99979913	889	0.662	1.583	0.004657127	0.032324196
chr14	ENSG00000258745	RP11-218E20.5	51378944	51380076	535	-0.555	0.681	0.174912231	0.398756125
chr15	ENSG00000258741	RP11-386M24.4	93258989	93277425	741	0.153	1.112	0.626144648	0.813631217
chr14	ENSG00000258738	RP11-73E17.2	35343549	35345665	2117	0.186	1.137	0.492083831	0.717763187
chr9	ENSG00000258728	GALT	34646642	34657110	902	0.279	1.214	0.326777402	0.573374198
chr14	ENSG00000258727	RP11-66N24.3	24030306	24037282	3243	0.674	1.595	0.005730378	0.037696876
chr15	ENSG00000258725	PRC1-AS1	91509575	91531854	1799	0.709	1.635	0.00426606	0.030190597
chr8	ENSG00000258724	SOX7	10582909	10697357	1753	-0.011	0.992	0.971330717	0.989750898
chr14	ENSG00000258714	RP11-998D10.7	21558546	21560491	419	0.697	1.621	0.007489775	0.046101962
chr14	ENSG00000258708	SLC25A21-AS1	37641093	37643016	1924	-0.748	0.595	0.199964769	0.432498869
chr14	ENSG00000258701	LINC00638	105287538	105290055	2518	0.372	1.294	0.25199683	0.495048664
chr8	ENSG00000258677	RP11-463D19.2	74600926	74791089	776	-0.281	0.823	0.282784925	0.528924684
chr19	ENSG00000258674	CTC-260F20.3	19627036	19646885	1846	-0.009	0.994	0.961248243	0.98540131
chr14	ENSG00000258670	RP11-1042B17.3	60981837	61021634	868	0.398	1.317	0.491765734	0.717703527
chr14	ENSG00000258666	RP11-638I2.8	100800127	100820398	385	-0.036	0.975	0.880195116	0.948746137
chr1	ENSG00000258664	IFRG15	179833916	179834311	396	-0.028	0.981	0.91795168	0.965320815
chr14	ENSG00000258660	RP4-693M11.3	74164806	74167054	693	0.006	1.004	0.986081801	0.995430834
chr11	ENSG00000258659	TRIM34	5640994	5665628	2690	-0.927	0.526	0.014749529	0.075799351
chr14	ENSG00000258655	ARHGAP5-AS1	32544625	32545999	1375	0.101	1.072	0.745078226	0.883054454
chr14	ENSG00000258653	RP5-1021I20.4	74318674	74398981	3695	0.124	1.089	0.454650284	0.688288619
chr14	ENSG00000258646	RP11-950C14.3	75471422	75475184	489	0.333	1.259	0.238131896	0.480845975
chr14	ENSG00000258645	HSPE1P2	64068227	64068532	306	0.191	1.141	0.57316998	0.776600217
chr14	ENSG00000258644	SYNJ2BP-COX16	70793069	70883701	318	-0.011	0.992	0.954095401	0.981311637
chr14	ENSG00000258643	BCL2L2-PABPN1	23776044	23794578	1548	0.509	1.423	0.001420352	0.012556109
chr1	ENSG00000258634	RP4-773N10.4	110600962	110605177	4216	0.525	1.439	0.031626912	0.129649442
chr15	ENSG00000258628	RP11-492D6.3	20433873	20482756	2512	0.441	1.357	0.191979703	0.421590487
chr14	ENSG00000258610	RP11-488C13.7	77245295	77248592	721	0.025	1.018	0.935987893	0.973683938
chr11	ENSG00000258588	TRIM6-TRIM34	5617955	5665628	3391	-0.709	0.612	0.06421734	0.20953906
chr14	ENSG00000258584	FAM181A-AS1	94371076	94393412	2781	1.006	2.008	0.041738228	0.157070528
chr14	ENSG00000258559	AC005519.4	74755830	74761128	1367	1.248	2.375	0.004636174	0.032218633
chr22	ENSG00000258555	SPECC1L-ADORA2A	24666866	24838324	6204	0.261	1.198	0.217202346	0.45483061
chr12	ENSG00000258554	RP11-973D8.4	56360622	56361258	565	0.217	1.163	0.410481064	0.649835047
chr10	ENSG00000258539	RP11-12J10.3	126305649	126480296	3422	0.157	1.115	0.453111281	0.687246249
chr11	ENSG00000258529	ALG9	111657010	111750149	3347	0.1	1.072	0.610674026	0.802691925
chr14	ENSG00000258525	RP11-829H16.3	31345385	31359014	2302	-0.002	0.998	0.99329381	0.997793319
chr14	ENSG00000258504	RP11-638I2.6	100757454	100760993	693	0.605	1.521	0.008495142	0.050427118
chr14	ENSG00000258486	RN7SL1	50053297	50053596	300	0.895	1.859	0.273906378	0.519344816
chr15	ENSG00000258484	SPESP1	69110560	69239150	1588	-1.42	0.374	0.028103904	0.119617634
chr17	ENSG00000258472	RP11-192H23.4	26782770	26941215	6244	0.897	1.862	0.000176238	0.002111096
chr14	ENSG00000258471	RP11-84C10.4	21463996	21467322	1398	0.33	1.257	0.196525609	0.428332981
chr14	ENSG00000258466	RP11-1012A1.4	68126537	68157084	804	0.302	1.233	0.117750081	0.310048216
chr1	ENSG00000258465	DCAF8	160187254	160254920	2875	0.186	1.138	0.254688905	0.497866447
chr15	ENSG00000258461	RP11-164J13.1	42640301	42704515	4670	0.151	1.111	0.640476558	0.822360056
chr14	ENSG00000258459	CTD-2292M16.7	20773889	20774970	748	0.316	1.245	0.411905678	0.651402562
chr14	ENSG00000258457	RP11-298I3.4	23451907	23468287	1462	0.393	1.313	0.182744548	0.409253162
chr14	ENSG00000258451	RP11-903H12.3	21161639	21175279	915	-0.575	0.671	0.079894907	0.241632068
chr14	ENSG00000258441	LINC00641	21668238	21675059	5715	0.462	1.378	0.182938703	0.409569468
chr14	ENSG00000258430	RP11-982M15.2	105235686	105236608	663	0.144	1.105	0.446451534	0.681996604
chr16	ENSG00000258429	PDF	69362524	69364498	1158	0.23	1.173	0.317616654	0.564903009
chr14	ENSG00000258428	RP11-1085N6.2	57099962	57115376	461	0.215	1.161	0.49302433	0.718607724
